id,question,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
177,Which sound event occurs second?,TREA_dataset/order/audios/177.wav,car_horn,"Door, wood creaks",Toilet flush,Clapping,A,"['ESC-50-master/audio/1-19872-A-36.wav', 'ESC-50-master/audio/5-180156-B-43.wav']","['vacuum_cleaner', 'car_horn']"
178,Which sound event occurs first?,TREA_dataset/order/audios/178.wav,Door knock,mouse_click,Rain,Footsteps,B,"['ESC-50-master/audio/5-238926-A-31.wav', 'ESC-50-master/audio/3-93010-A-18.wav', 'ESC-50-master/audio/2-60180-B-49.wav', 'ESC-50-master/audio/2-72547-A-14.wav']","['mouse_click', 'toilet_flush', 'hand_saw', 'chirping_birds']"
179,Which sound event occurs fourth?,TREA_dataset/order/audios/179.wav,Airplane,church_bells,Washing machine,Car horn,B,"['ESC-50-master/audio/2-104952-A-16.wav', 'ESC-50-master/audio/1-26177-A-43.wav', 'ESC-50-master/audio/1-115545-C-48.wav', 'ESC-50-master/audio/3-139109-A-46.wav']","['wind', 'car_horn', 'fireworks', 'church_bells']"
180,Which sound event occurs after clock_alarm sound?,TREA_dataset/order/audios/180.wav,Sheep,Train,breathing,Footsteps,C,"['ESC-50-master/audio/2-158746-A-2.wav', 'ESC-50-master/audio/1-72195-B-37.wav', 'ESC-50-master/audio/3-112557-B-23.wav']","['pig', 'clock_alarm', 'breathing']"
181,Which sound event occurs second?,TREA_dataset/order/audios/181.wav,laughing,Cow,Church bells,Snoring,A,"['ESC-50-master/audio/2-78781-A-47.wav', 'ESC-50-master/audio/2-109759-A-26.wav', 'ESC-50-master/audio/5-208810-A-11.wav']","['airplane', 'laughing', 'sea_waves']"
182,Which sound event occurs third?,TREA_dataset/order/audios/182.wav,Helicopter,pouring_water,Brushing teeth,Mouse click,B,"['ESC-50-master/audio/2-70366-A-33.wav', 'ESC-50-master/audio/3-125548-A-32.wav', 'ESC-50-master/audio/4-187504-A-17.wav']","['door_wood_creaks', 'keyboard_typing', 'pouring_water']"
183,Which sound event occurs after airplane sound?,TREA_dataset/order/audios/183.wav,Sneezing,sneezing,Sea waves,Clock alarm,B,"['ESC-50-master/audio/4-161105-B-47.wav', 'ESC-50-master/audio/1-47274-A-21.wav', 'ESC-50-master/audio/2-81970-A-7.wav']","['airplane', 'sneezing', 'insects']"
184,Which sound event occurs second?,TREA_dataset/order/audios/184.wav,Glass breaking,Hand saw,church_bells,Airplane,C,"['ESC-50-master/audio/4-175846-A-43.wav', 'ESC-50-master/audio/5-198373-A-46.wav']","['car_horn', 'church_bells']"
185,Which sound event occurs second?,TREA_dataset/order/audios/185.wav,footsteps,Brushing teeth,Thunderstorm,Pig,A,"['ESC-50-master/audio/3-146964-A-5.wav', 'ESC-50-master/audio/5-243025-A-25.wav', 'ESC-50-master/audio/1-97392-A-0.wav']","['cat', 'footsteps', 'dog']"
186,Which sound event occurs second?,TREA_dataset/order/audios/186.wav,Hand saw,car_horn,Vacuum cleaner,Chirping birds,B,"['ESC-50-master/audio/3-108160-A-23.wav', 'ESC-50-master/audio/5-180156-A-43.wav', 'ESC-50-master/audio/4-161099-A-47.wav']","['breathing', 'car_horn', 'airplane']"
187,Which sound event occurs third?,TREA_dataset/order/audios/187.wav,Clapping,car_horn,Crying baby,Wind,B,"['ESC-50-master/audio/4-210000-A-23.wav', 'ESC-50-master/audio/1-18074-B-6.wav', 'ESC-50-master/audio/5-180156-C-43.wav', 'ESC-50-master/audio/5-243449-A-14.wav']","['breathing', 'hen', 'car_horn', 'chirping_birds']"
188,Which sound event occurs second?,TREA_dataset/order/audios/188.wav,Clapping,chirping_birds,Chirping birds,Hen,B,"['ESC-50-master/audio/1-85168-A-39.wav', 'ESC-50-master/audio/4-216211-A-14.wav', 'ESC-50-master/audio/3-118658-A-41.wav']","['glass_breaking', 'chirping_birds', 'chainsaw']"
189,Which sound event occurs fourth?,TREA_dataset/order/audios/189.wav,pig,Glass breaking,"Door, wood creaks",Dog,A,"['ESC-50-master/audio/1-30043-A-26.wav', 'ESC-50-master/audio/3-105236-A-7.wav', 'ESC-50-master/audio/4-250864-A-8.wav', 'ESC-50-master/audio/1-260640-C-2.wav']","['laughing', 'insects', 'sheep', 'pig']"
190,Which sound event occurs after water_drops sound?,TREA_dataset/order/audios/190.wav,Siren,can_opening,Clock alarm,Keyboard typing,B,"['ESC-50-master/audio/2-124564-A-15.wav', 'ESC-50-master/audio/4-175025-A-34.wav']","['water_drops', 'can_opening']"
191,Which sound event occurs second?,TREA_dataset/order/audios/191.wav,siren,Brushing teeth,Pouring water,Sheep,A,"['ESC-50-master/audio/5-233260-A-23.wav', 'ESC-50-master/audio/4-111671-B-42.wav', 'ESC-50-master/audio/5-251962-A-47.wav']","['breathing', 'siren', 'airplane']"
192,Which sound event occurs fourth?,TREA_dataset/order/audios/192.wav,Train,Rain,Crackling fire,chainsaw,D,"['ESC-50-master/audio/1-54747-A-46.wav', 'ESC-50-master/audio/4-188287-A-9.wav', 'ESC-50-master/audio/5-263775-B-26.wav', 'ESC-50-master/audio/4-157611-A-41.wav']","['church_bells', 'crow', 'laughing', 'chainsaw']"
193,Which sound event occurs third?,TREA_dataset/order/audios/193.wav,Toilet flush,Sheep,breathing,Helicopter,C,"['ESC-50-master/audio/2-166644-B-2.wav', 'ESC-50-master/audio/4-186940-A-44.wav', 'ESC-50-master/audio/4-205526-B-23.wav']","['pig', 'engine', 'breathing']"
194,Which sound event occurs second?,TREA_dataset/order/audios/194.wav,Insects (flying),Fireworks,Crickets,hen,D,"['ESC-50-master/audio/3-166125-B-23.wav', 'ESC-50-master/audio/5-244315-C-6.wav']","['breathing', 'hen']"
195,Which sound event occurs third?,TREA_dataset/order/audios/195.wav,Brushing teeth,Rain,Crying baby,footsteps,D,"['ESC-50-master/audio/2-76408-A-22.wav', 'ESC-50-master/audio/1-81269-A-3.wav', 'ESC-50-master/audio/4-198962-B-25.wav', 'ESC-50-master/audio/1-61221-A-17.wav']","['clapping', 'cow', 'footsteps', 'pouring_water']"
196,Which sound event occurs first?,TREA_dataset/order/audios/196.wav,"Drinking, sipping",crickets,Crickets,Siren,B,"['ESC-50-master/audio/1-57318-A-13.wav', 'ESC-50-master/audio/1-19898-C-41.wav', 'ESC-50-master/audio/3-68630-A-40.wav', 'ESC-50-master/audio/2-88724-A-38.wav']","['crickets', 'chainsaw', 'helicopter', 'clock_tick']"
197,Which sound event occurs after vacuum_cleaner sound?,TREA_dataset/order/audios/197.wav,Laughing,Brushing teeth,Cat,crickets,D,"['ESC-50-master/audio/1-19872-B-36.wav', 'ESC-50-master/audio/5-215172-A-13.wav']","['vacuum_cleaner', 'crickets']"
198,Which sound event occurs second?,TREA_dataset/order/audios/198.wav,Train,Crying baby,Laughing,crickets,D,"['ESC-50-master/audio/2-89516-A-37.wav', 'ESC-50-master/audio/3-162786-A-13.wav']","['clock_alarm', 'crickets']"
199,Which sound event occurs first?,TREA_dataset/order/audios/199.wav,clock_tick,Hand saw,Washing machine,Door knock,A,"['ESC-50-master/audio/3-143933-A-38.wav', 'ESC-50-master/audio/2-114587-A-0.wav']","['clock_tick', 'dog']"
